Team;Total DVOA Rank;Total DVOA;Prev. Year Rank;W-L;Weighted DVOA Rank;Weighted DVOA;Offense DVOA Rank;Offense DVOA;Defense DVOA Rank;Defense DVOA;Special Teams DVOA Rank;Special Teams DVOA;Estimated Wins Rank;Estimated Wins;Unadj. Total VOA Rank;Unadj. Total VOA;Schedule Rank;Schedule;Pythagorean Wins Rank;Pythagorean Wins;Variance Rank;Variance
PHI;28;-0,249;9;4-12;30;-0,298;26;-0,112;28;0,115;23;-0,022;28;4,2;29;-0,286;10;0,024;30;3,9;12;0,126
PIT;19;-0,024;3;8-8;19;-0,014;20;-0,043;12;-0,02;17;-0,001;20;7,3;15;0,037;28;-0,065;14;8,7;22;0,152
SD;22;-0,108;16;7-9;20;-0,091;24;-0,104;20;0,034;8;0,03;23;6,3;22;-0,062;31;-0,076;16;8;7;0,099
SEA;1;0,384;19;11-5;1;0,462;4;0,186;5;-0,141;3;0,057;3;13;3;0,308;4;0,061;3;12,5;15;0,132
SF;4;0,302;6;11-4-1;4;0,275;5;0,174;4;-0,143;20;-0,015;4;12,7;4;0,25;3;0,074;4;11,4;31;0,218
STL;15;0,042;31;7-8-1;12;0,074;19;-0,041;7;-0,116;26;-0,034;14;8,6;19;-0,037;2;0,101;22;6,6;8;0,102
TB;20;-0,072;30;7-9;24;-0,116;15;0,007;21;0,036;27;-0,043;18;7,7;20;-0,04;16;-0,006;17;7,9;17;0,135
TEN;30;-0,309;14;6-10;29;-0,285;30;-0,211;25;0,084;19;-0,014;30;3,1;30;-0,297;20;-0,029;28;4,6;30;0,2
WAS;11;0,09;21;10-6;7;0,165;6;0,16;16;0,028;27;-0,043;7;9,8;9;0,135;15;-0,005;12;9,2;5;0,089
ARI;10;0,126;24;10-6;9;0,174;20;-0,025;2;-0,191;27;-0,041;5;10,8;11;0,071;4;0,067;9;9,5;4;0,062
ATL;20;-0,064;7;4-12;24;-0,105;14;0,032;26;0,094;17;-0,001;19;7,1;25;-0,121;2;0,076;24;5,9;5;0,065
BAL;24;-0,081;10;8-8;19;-0,047;31;-0,22;9;-0,075;3;0,063;24;6,5;22;-0,087;20;-0,016;21;7,1;2;0,058
BUF;18;-0,039;23;6-10;18;-0,046;25;-0,118;4;-0,134;30;-0,056;21;7;18;-0,016;16;-0,003;22;6,7;24;0,151
CAR;3;0,247;14;12-4;3;0,24;9;0,087;3;-0,15;13;0,01;3;11;3;0,224;6;0,043;3;11,7;9;0,087
CHI;11;0,06;6;8-8;15;0,003;6;0,134;25;0,094;11;0,02;12;9,2;12;0,059;25;-0,031;20;7,3;26;0,162
CIN;8;0,14;13;11-5;10;0,173;17;0,009;5;-0,118;12;0,012;8;10;5;0,2;29;-0,044;5;11,1;22;0,147
CLE;28;-0,237;25;4-12;28;-0,255;26;-0,146;27;0,1;14;0,009;28;4,2;27;-0,196;21;-0,017;26;5,5;14;0,103
DAL;16;-0,001;17;8-8;22;-0,074;11;0,072;29;0,107;8;0,034;14;8,5;17;0,02;19;-0,013;15;8,2;17;0,108
DEN;2;0,332;2;13-3;2;0,286;1;0,342;15;0;21;-0,01;1;14,2;1;0,413;31;-0,073;2;11,7;8;0,076
DET;15;0,019;16;7-9;14;0,014;18;-0,021;12;-0,044;20;-0,004;15;8,2;13;0,055;26;-0,039;13;8,5;15;0,103
GB;23;-0,077;5;8-7-1;27;-0,147;10;0,085;31;0,159;19;-0,003;20;7,1;19;-0,017;22;-0,025;16;7,8;28;0,183
HOU;29;-0,254;9;2-14;31;-0,307;29;-0,193;16;0,01;29;-0,051;29;4;29;-0,258;10;0,01;31;4,2;25;0,155
IND;14;0,027;26;11-5;16;-0,012;12;0,044;17;0,016;18;-0,001;11;9,4;10;0,072;24;-0,027;10;9,4;29;0,196
JAX;32;-0,402;31;4-12;30;-0,267;32;-0,303;30;0,125;9;0,025;31;2,8;32;-0,394;14;0,005;32;3,1;20;0,131
KC;7;0,16;32;11-5;8;0,177;15;0,031;11;-0,051;1;0,078;10;9,8;6;0,194;32;-0,075;6;11,1;21;0,141
MIA;22;-0,074;21;8-8;23;-0,079;19;-0,023;18;0,028;23;-0,024;23;6,7;21;-0,078;9;0,021;19;7,5;18;0,112
MIN;25;-0,086;12;5-10-1;20;-0,057;21;-0,044;24;0,079;6;0,038;22;6,9;23;-0,09;12;0,01;23;6,1;13;0,1
NE;5;0,179;3;12-4;7;0,215;4;0,165;20;0,053;2;0,067;4;10,8;7;0,167;18;-0,011;8;10,5;1;0,047
NO;4;0,229;18;11-5;4;0,235;5;0,163;7;-0,091;24;-0,025;7;10,4;4;0,203;5;0,065;7;10,8;27;0,171
NYG;27;-0,165;8;7-9;26;-0,11;30;-0,22;6;-0,106;28;-0,051;27;5,5;28;-0,217;7;0,03;25;5,6;23;0,147
NYJ;26;-0,095;27;8-8;25;-0,108;27;-0,155;14;-0,039;10;0,021;18;7,4;24;-0,101;17;-0,007;27;5,4;30;0,221
OAK;31;-0,349;29;4-12;32;-0,366;28;-0,171;28;0,107;31;-0,071;32;2,1;31;-0,37;15;-0,001;29;4,9;11;0,092
PHI;9;0,135;28;10-6;6;0,22;3;0,226;22;0,062;25;-0,028;9;10;8;0,155;28;-0,043;11;9,4;32;0,316
PIT;17;-0,015;19;8-8;13;0,036;13;0,044;23;0,065;16;0,005;17;7,9;15;0,022;30;-0,055;14;8,2;6;0,071
SD;13;0,052;22;9-7;12;0,121;2;0,236;32;0,193;15;0,008;13;8,6;14;0,041;27;-0,04;12;9,2;7;0,074
SEA;1;0,4;1;13-3;1;0,413;7;0,101;1;-0,251;5;0,047;2;12,9;2;0,41;13;0,007;1;12,8;19;0,126
SF;6;0,168;4;12-4;5;0,221;8;0,091;13;-0,04;7;0,037;6;10,6;9;0,128;8;0,03;4;11,5;16;0,108
STL;12;0,054;15;7-9;11;0,123;22;-0,097;8;-0,089;4;0,063;16;8,1;16;0,021;3;0,069;17;7,6;31;0,235
TB;19;-0,052;20;4-12;21;-0,06;23;-0,1;10;-0,063;22;-0,015;26;6,2;26;-0,14;1;0,106;28;5,3;10;0,089
TEN;21;-0,065;30;7-9;17;-0,043;16;0,016;19;0,048;26;-0,032;25;6,5;20;-0,033;23;-0,027;18;7,5;3;0,06
WAS;30;-0,275;11;3-13;29;-0,259;24;-0,101;21;0,053;32;-0,12;30;4;30;-0,31;11;0,01;30;4,8;12;0,094
ARI;20;-0,025;10;11-5;24;-0,068;23;-0,091;7;-0,088;21;-0,022;17;8;21;-0,032;2;0,049;16;8,3;3;0,082
ATL;21;-0,033;20;6-10;22;-0,056;11;0,069;31;0,131;9;0,03;19;7,6;18;-0,005;26;-0,029;22;7,1;11;0,146
BAL;4;0,221;24;10-6;6;0,225;9;0,098;9;-0,043;2;0,08;3;11,5;3;0,255;30;-0,051;5;10,9;5;0,095
BUF;9;0,107;18;9-7;10;0,132;26;-0,112;3;-0,157;4;0,062;11;9;10;0,097;12;0,012;12;9,6;6;0,103
CAR;24;-0,095;3;7-8-1;23;-0,063;20;-0,049;15;-0,009;30;-0,055;20;7,3;24;-0,098;10;0,013;23;7;17;0,167
CHI;26;-0,153;11;5-11;27;-0,234;16;-0,008;29;0,114;25;-0,031;26;6,3;26;-0,198;6;0,027;26;4,9;7;0,111
CIN;13;0,045;8;10-5-1;16;0,023;17;-0,009;14;-0,012;6;0,042;13;8,9;15;0,03;15;0,002;14;8,6;31;0,24
CLE;23;-0,079;28;7-9;25;-0,123;24;-0,103;13;-0,02;14;0,004;22;7;22;-0,062;25;-0,026;25;6,9;25;0,191
DAL;6;0,166;16;12-4;5;0,227;5;0,172;18;0,015;13;0,009;6;10,7;6;0,192;31;-0,053;6;10,8;26;0,195
DEN;2;0,289;2;12-4;3;0,242;3;0,203;4;-0,123;27;-0,037;1;13,2;1;0,284;13;0,012;4;11;4;0,084
DET;11;0,075;15;11-5;14;0,037;19;-0,035;1;-0,167;31;-0,057;10;9,1;7;0,122;23;-0,022;13;9,2;2;0,078
GB;3;0,23;23;12-4;4;0,238;1;0,252;16;0;22;-0,023;5;10,7;4;0,225;16;-0,007;3;11,2;9;0,13
HOU;18;-0,01;29;9-7;13;0,052;21;-0,065;6;-0,093;28;-0,039;21;7,2;13;0,064;32;-0,07;9;9,8;1;0,063
IND;14;0,045;14;11-5;15;0,023;18;-0,013;11;-0,025;8;0,033;14;8,8;12;0,068;28;-0,034;7;10,2;21;0,173
JAX;32;-0,313;32;3-13;29;-0,253;31;-0,248;21;0,028;26;-0,036;32;3,1;31;-0,278;22;-0,02;30;3,6;15;0,164
KC;10;0,098;7;9-7;8;0,142;12;0,054;20;0,023;3;0,067;8;9,3;11;0,083;9;0,018;8;10,1;29;0,218
MIA;16;0,029;22;8-8;18;-0,016;7;0,104;17;0,014;32;-0,061;15;8,7;14;0,059;7;0,021;15;8,4;22;0,184
MIN;25;-0,1;25;7-9;21;-0,046;22;-0,076;23;0,055;10;0,03;23;7;23;-0,073;19;-0,012;19;7,5;8;0,119
NE;5;0,216;5;12-4;2;0,283;6;0,139;12;-0,02;5;0,057;4;10,8;5;0,193;14;0,009;2;11,8;20;0,173
NO;15;0,031;4;7-9;17;0,009;8;0,101;27;0,087;11;0,016;16;8,2;16;0,023;21;-0,016;20;7,4;27;0,198
NYG;22;-0,078;27;6-10;20;-0,045;15;-0,005;25;0,067;15;-0,006;24;6,8;25;-0,11;18;-0,012;18;7,5;19;0,172
NYJ;27;-0,168;26;4-12;26;-0,153;27;-0,116;22;0,045;16;-0,008;27;5,6;27;-0,208;3;0,039;27;4,8;16;0,166
OAK;30;-0,295;31;3-13;30;-0,313;30;-0,199;26;0,08;18;-0,017;28;4,4;32;-0,379;1;0,074;32;3,1;24;0,187
PHI;7;0,125;9;10-6;9;0,139;13;0,011;10;-0,031;1;0,083;7;9,6;9;0,103;27;-0,032;10;9,7;14;0,162
PIT;8;0,113;17;11-5;7;0,151;2;0,229;30;0,125;12;0,009;9;9,3;8;0,12;29;-0,042;11;9,7;13;0,159
SD;19;-0,02;13;9-7;19;-0,024;10;0,07;24;0,062;23;-0,027;18;7,8;19;-0,021;4;0,039;17;8;12;0,154
SEA;1;0,317;1;12-4;1;0,349;4;0,174;2;-0,16;19;-0,017;2;12,6;2;0,276;11;0,012;1;11,9;10;0,14
SF;12;0,063;6;8-8;12;0,074;14;-0,003;5;-0,096;24;-0,03;12;8,9;17;0,019;5;0,028;24;7;18;0,169
STL;17;-0,007;12;6-10;11;0,095;25;-0,11;8;-0,069;7;0,035;25;6,5;20;-0,022;8;0,019;21;7,1;32;0,278
TB;29;-0,294;19;2-14;28;-0,249;32;-0,265;19;0,02;17;-0,008;30;3,9;28;-0,25;17;-0,009;29;4,4;28;0,212
